,Id,field,age,type,harvest_year,harvest_month,production,month,year,temperature,dewpoint,windspeed,Soilwater_L1,Soilwater_L2,Soilwater_L3,Soilwater_L4,Precipitation,BDRICM_BDRICM_M,BDRLOG_BDRLOG_M,BDTICM_BDTICM_M,BLDFIE_sl1,BLDFIE_sl2,BLDFIE_sl3,BLDFIE_sl4,BLDFIE_sl5,BLDFIE_sl6,BLDFIE_sl7,CECSOL_sl1,CECSOL_sl2,CECSOL_sl3,CECSOL_sl4,CECSOL_sl5,CECSOL_sl6,CECSOL_sl7,CLYPPT_sl1,CLYPPT_sl2,CLYPPT_sl3,CLYPPT_sl4,CLYPPT_sl5,CLYPPT_sl6,CLYPPT_sl7,CRFVOL_sl1,CRFVOL_sl2,CRFVOL_sl3,CRFVOL_sl4,CRFVOL_sl5,CRFVOL_sl6,CRFVOL_sl7,OCSTHA_sd1,OCSTHA_sd2,OCSTHA_sd3,OCSTHA_sd4,OCSTHA_sd5,OCSTHA_sd6,ORCDRC_sl1,ORCDRC_sl2,ORCDRC_sl3,ORCDRC_sl4,ORCDRC_sl5,ORCDRC_sl6,ORCDRC_sl7,PHIHOX_sl1,PHIHOX_sl2,PHIHOX_sl3,PHIHOX_sl4,PHIHOX_sl5,PHIHOX_sl6,PHIHOX_sl7,PHIKCL_sl1,PHIKCL_sl2,PHIKCL_sl3,PHIKCL_sl4,PHIKCL_sl5,PHIKCL_sl6,PHIKCL_sl7,SLTPPT_sl1,SLTPPT_sl2,SLTPPT_sl3,SLTPPT_sl4,SLTPPT_sl5,SLTPPT_sl6,SLTPPT_sl7,SNDPPT_sl1,SNDPPT_sl2,SNDPPT_sl3,SNDPPT_sl4,SNDPPT_sl5,SNDPPT_sl6,SNDPPT_sl7
0,0,0,19,5,2004,1,0.06407108239095315,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
1,1532,0,13,2,2004,1,0.28322784810126583,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
2,4204,0,4,5,2004,1,0.10626286386356956,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
3,1,0,19,5,2004,2,0.047657512116316636,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
4,1533,0,13,2,2004,2,0.1820675105485232,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
5,4205,0,4,5,2004,2,0.04019406057042047,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
6,2,0,19,5,2004,3,0.01686591276252019,3,2004,25.61,24.651,1.9948,0.36399000000000004,0.36383000000000004,0.36351,0.36575,460.76,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
7,1534,0,13,2,2004,3,0.3334388185654009,3,2004,25.61,24.651,1.9948,0.36399000000000004,0.36383000000000004,0.36351,0.36575,460.76,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
8,3,0,19,5,2004,4,0.025525040387722138,4,2004,26.328000000000003,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
9,1535,0,13,2,2004,4,0.15991561181434602,4,2004,26.328000000000003,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02,200,8,7885,1317,1298,1365,1443,1499,1522,1535,18,17,14,11,10,9,9,31,31,33,38,41,41,41,1,1,1,2,2,2,4,15,31,38,57,64,146,17,24,21,18,14,13,12,47,46,46,47,48,49,51,44,42,42,42,42,43,44,25,23,23,23,22,22,23,44,45,44,39,38,37,36
